1  509.164
2  363.247
3  429.747
4  374.536
5  406.123
6  421.750
7  364.180
8  393.103
9  350.472
10  353.001
11  312.973
12  330.915
13  318.631
14  346.784
15  326.014
16  337.070
17  337.197
18  343.071
19  346.851
20  349.984
21  352.807
22  366.703
23  368.946
24  377.743
25  343.400
26  377.321
27  379.784
28  385.582
29  361.097
30  380.298
31  343.393
32  370.565
33  361.794
34  374.608
35  369.127
36  373.272
37  373.454
38  377.873
39  372.817
40  379.131
41  380.251
42  377.479
43  383.303
44  374.273
45  376.896
46  375.748
47  363.814
48  382.807
49  373.982
50  357.162
51  380.921
52  379.200
53  378.660
54  386.356
55  370.766
56  378.976
57  380.325
58  377.182
59  378.305
60  373.654
61  374.825
62  384.380
63  375.337
