1  609.594
2  440.274
3  389.974
4  305.016
5  363.849
6  413.294
7  394.842
8  449.399
9  414.148
10  392.276
11  339.857
12  375.004
13  352.215
14  335.112
15  323.522
16  320.797
17  320.627
18  315.890
19  324.247
20  323.291
21  325.172
22  329.738
23  330.466
24  331.583
25  329.371
26  332.883
27  326.720
28  340.057
29  343.940
30  351.005
31  356.232
32  350.988
33  366.915
34  366.451
35  382.867
36  392.603
37  373.221
38  397.478
39  394.181
40  400.740
41  410.224
42  385.449
43  421.913
44  423.000
45  408.176
46  433.790
47  414.708
48  410.696
49  414.988
50  411.847
51  401.669
52  417.676
53  416.600
54  426.469
55  419.851
56  430.516
57  421.274
58  418.168
59  426.857
60  414.259
61  378.643
62  422.563
63  413.242
